SN,AGE,EMPLOY,ADDRESS,DEBTINC,CREDDEBT,OTHDEBT,DEFAULTER
639,3,6,1,6.3,0.12,1.07,0
640,2,7,17,9.9,1.69,2.27,0
641,3,1,16,4.4,0.24,0.59,0
642,3,16,31,5.6,1.33,1.13,0
643,2,6,5,11.5,2.33,0.54,0
644,1,5,6,2.9,0.34,0.39,0
645,3,28,25,12,4.33,4.07,0
646,1,0,1,3.9,1.02,0.62,1
647,2,11,6,6.8,0.3,2.01,0
648,1,6,6,4.9,0.88,1.22,0
649,3,11,17,1.3,0.18,0.3,0
650,1,5,7,18.7,2.13,3.11,0
651,3,6,7,6.4,0.59,1.13,1
652,2,4,9,13.6,1.25,1.34,0
653,1,12,10,8.5,0.17,3.06,0
654,1,2,0,9.4,0.23,1.65,1
655,2,11,2,32.5,1.27,9.46,0
656,3,15,5,2.1,0.32,0.94,0
657,2,12,9,6.6,0.44,1.14,0
658,2,16,10,10.5,1.14,4.84,0
659,3,4,4,12.5,0.14,2.73,0
660,3,12,9,15,2.53,5.72,0
661,2,2,3,7.1,0.18,1.8,0
662,2,0,13,0.9,0.12,0.16,1
663,2,6,8,2.8,0.4,1.11,0
664,2,11,13,8,1.27,1.53,0
665,2,15,1,10.6,5.5,2.66,0
666,3,24,10,5.6,2.99,2.66,0
667,3,21,14,13.2,3.19,11.72,0
668,2,0,12,0.9,0.08,0.13,0
669,2,7,14,4.9,0.26,1.16,0
670,2,10,4,13,0.96,4.63,0
671,1,3,4,6.3,0.55,0.96,0
672,1,0,7,12.8,0.58,1.72,0
673,2,6,1,1.2,0.04,0.2,0
674,2,0,5,11.1,1.37,2.4,1
675,1,4,4,3.7,0.32,0.42,0
676,3,30,8,6.4,1.87,4.59,0
677,1,8,1,11.8,0.44,4.28,0
678,2,6,9,2.1,0.39,0.37,1
679,2,9,8,9.3,0.42,4.04,0
680,2,17,4,3,0.09,1.17,0
681,1,7,2,25.4,1.17,7.22,1
682,1,4,0,9.7,0.2,1.16,1
683,2,1,17,11.5,0.32,3.13,0
684,1,1,1,6.3,0.14,0.87,0
685,2,18,10,10.5,0.84,4.72,0
686,2,7,5,16.1,1.7,4.58,1
687,2,1,4,7.9,0.85,0.73,0
688,2,10,1,10.3,2.5,0.9,1
689,2,12,12,10.8,1.37,5.98,0
690,1,4,2,10.7,0.23,1.7,0
691,1,0,5,7.3,0.02,1.14,0
692,3,31,8,7.2,9.31,8.91,0
693,3,0,26,28.9,2.75,5.05,1
694,1,0,2,4.7,0.22,0.72,0
695,3,6,1,12.1,2.32,5.67,0
696,2,6,15,4.6,0.26,0.98,1
697,1,6,4,11.5,0.37,2.05,0
698,2,15,3,7.6,0.49,1.94,0
699,3,19,22,8.4,2.3,4.17,0
700,2,12,14,14.7,2.99,3.47,0
